arquivo,palavra,ascii,par_id,escritor,semente,real,marca,onde,indice,medivel,fileiras_pauta,faixa_massa,faixa_massa_rel,faixa_densidade,tem_gemeo,diff_delta_rel,e2_lido,e2_cer,e1_escore,e1_presente,categoria
depressao-2d26ca__acc__w32__s1.png,depressão,depressao,depressao-2d26ca,32,1,False,til,acima,7,True,0,11,0.04348,0.01122,True,-0.00631,,,-0.00631,,
cidadaos-88079d__acc__w32__s1.png,cidadãos,cidadaos,cidadaos-88079d,32,1,False,til,acima,5,True,0,138,0.19274,0.07667,True,-0.07051,,,-0.07051,,
questao-72d350__acc__w32__s1.png,questão,questao,questao-72d350,32,1,False,til,acima,5,True,0,50,0.17921,0.07092,True,0.01263,,,0.01263,,
exclusao-7a9dad__acc__w32__s1.png,exclusão,exclusao,exclusao-7a9dad,32,1,False,til,acima,6,True,0,89,0.14217,0.04564,True,0.04545,,,0.04545,,
regioes-ba061c__acc__w32__s1.png,regiões,regioes,regioes-ba061c,32,1,False,til,acima,4,True,0,22,0.09016,0.03333,True,-0.01195,,,-0.01195,,
visao-ee76db__acc__w32__s1.png,visão,visao,visao-ee76db,32,1,False,til,acima,3,True,0,58,0.07296,0.02358,True,0.02203,,,0.02203,,
doencas-7ee44f__acc__w32__s1.png,doenças,doencas,doencas-7ee44f,32,1,False,cedilha,abaixo,4,True,0,2,0.00421,0.00667,True,-0.02362,,,-0.02362,,
doenca-0cc034__acc__w32__s1.png,doença,doenca,doenca-0cc034,32,1,False,cedilha,abaixo,4,True,0,12,0.02655,0.02239,True,0.00237,,,0.00237,,
espaco-222fe5__acc__w32__s1.png,espaço,espaco,espaco-222fe5,32,1,False,cedilha,abaixo,4,True,0,36,0.06327,0.01604,True,0.0,,,0.0,,
preco-f110c7__acc__w32__s1.png,preço,preco,preco-f110c7,32,1,False,cedilha,abaixo,3,True,0,24,0.0424,0.01139,True,0.06045,,,0.06045,,
espacos-a321bd__acc__w32__s1.png,espaços,espacos,espacos-a321bd,32,1,False,cedilha,abaixo,4,True,0,22,0.04374,0.0117,True,0.0,,,0.0,,
presenca-d6581f__acc__w32__s1.png,presença,presenca,presenca-d6581f,32,1,False,cedilha,abaixo,6,True,0,15,0.04505,0.00794,True,-0.01759,,,-0.01759,,
pais-8b83c1__acc__w424__s1.png,país,pais,pais-8b83c1,424,1,False,agudo,acima,2,True,0,61,0.17529,0.07673,True,-0.00922,,,-0.00922,,
individuos-2e50a2__acc__w424__s1.png,indivíduos,individuos,individuos-2e50a2,424,1,False,agudo,acima,5,True,0,10,0.05464,0.00618,True,0.04211,,,0.04211,,
esta-2d1080__acc__w424__s1.png,está,esta,esta-2d1080,424,1,False,agudo,acima,3,True,0,211,0.35462,0.11082,True,0.03232,,,0.03232,,
filosofo-6185fc__acc__w424__s1.png,filósofo,filosofo,filosofo-6185fc,424,1,False,agudo,acima,3,True,0,97,0.40756,0.07348,True,0.08553,,,0.08553,,
vies-abb582__acc__w424__s1.png,viés,vies,vies-abb582,424,1,False,agudo,acima,2,True,0,62,0.07159,0.05349,True,0.03714,,,0.03714,,
sera-615740__acc__w424__s1.png,será,sera,sera-615740,424,1,False,agudo,acima,3,True,0,26,0.02728,0.01485,True,0.04717,,,0.04717,,
aqueles-f3aa73__acc__w424__s1.png,àqueles,aqueles,aqueles-f3aa73,424,1,False,grave,acima,0,True,0,15,0.06224,0.02131,True,0.03586,,,0.03586,,
aquele-305a09__acc__w424__s1.png,àquele,aquele,aquele-305a09,424,1,False,grave,acima,0,True,0,42,0.19091,0.05966,True,-0.00917,,,-0.00917,,
aquela-5f0a77__acc__w424__s1.png,àquela,aquela,aquela-5f0a77,424,1,False,grave,acima,0,True,0,41,0.1934,0.04496,True,-0.05286,,,-0.05286,,
aquelas-cda0ac__acc__w424__s1.png,àquelas,aquelas,aquelas-cda0ac,424,1,False,grave,acima,0,True,0,6,0.02299,0.00852,True,0.00403,,,0.00403,,
epoque-f59620__acc__w424__s1.png,èpoque,epoque,epoque-f59620,424,1,False,grave,acima,0,True,0,87,0.27796,0.16731,True,0.02509,,,0.02509,,
importancia-39f2c4__acc__w424__s1.png,importância,importancia,importancia-39f2c4,424,1,False,circunflexo,acima,6,True,0,55,0.17742,0.04889,True,-0.04514,,,-0.04514,,
negligencia-07e163__acc__w424__s1.png,negligência,negligencia,negligencia-07e163,424,1,False,circunflexo,acima,6,True,0,0,0.0,0.0,True,0.0,,,0.0,,
influencia-754992__acc__w424__s1.png,influência,influencia,influencia-754992,424,1,False,circunflexo,acima,5,True,0,17,0.05312,0.01369,True,-0.05638,,,-0.05638,,
ineficiencia-65d1bb__acc__w424__s1.png,ineficiência,ineficiencia,ineficiencia-65d1bb,424,1,False,circunflexo,acima,7,True,0,28,0.10487,0.02627,True,-0.00637,,,-0.00637,,
porque-90c5f0__acc__w424__s1.png,porquê,porque,porque-90c5f0,424,1,False,circunflexo,acima,5,True,0,23,0.12778,0.05215,True,-0.01594,,,-0.01594,,
pode-9faff7__acc__w424__s1.png,pôde,pode,pode-9faff7,424,1,False,circunflexo,acima,1,True,0,30,0.1083,0.02885,True,-0.0293,,,-0.0293,,
depressao-2d26ca__acc__w424__s1.png,depressão,depressao,depressao-2d26ca,424,1,False,til,acima,7,True,0,13,0.04407,0.01474,True,0.03185,,,0.03185,,
cidadaos-88079d__acc__w424__s1.png,cidadãos,cidadaos,cidadaos-88079d,424,1,False,til,acima,5,True,0,152,0.23065,0.08038,True,-0.03071,,,-0.03071,,
questao-72d350__acc__w424__s1.png,questão,questao,questao-72d350,424,1,False,til,acima,5,True,0,69,0.20659,0.07263,True,-0.00253,,,-0.00253,,
exclusao-7a9dad__acc__w424__s1.png,exclusão,exclusao,exclusao-7a9dad,424,1,False,til,acima,6,True,0,42,0.05924,0.02263,True,-0.04626,,,-0.04626,,
regioes-ba061c__acc__w424__s1.png,regiões,regioes,regioes-ba061c,424,1,False,til,acima,4,True,0,7,0.02405,0.01224,True,-0.02033,,,-0.02033,,
visao-ee76db__acc__w424__s1.png,visão,visao,visao-ee76db,424,1,False,til,acima,3,True,0,34,0.0448,0.01735,True,0.00593,,,0.00593,,
doencas-7ee44f__acc__w424__s1.png,doenças,doencas,doencas-7ee44f,424,1,False,cedilha,abaixo,4,True,0,0,0.0,0.0,True,-0.00184,,,-0.00184,,
doenca-0cc034__acc__w424__s1.png,doença,doenca,doenca-0cc034,424,1,False,cedilha,abaixo,4,True,0,7,0.01211,0.01306,True,-0.02004,,,-0.02004,,
espaco-222fe5__acc__w424__s1.png,espaço,espaco,espaco-222fe5,424,1,False,cedilha,abaixo,4,True,0,16,0.03137,0.00847,True,-0.02505,,,-0.02505,,
preco-f110c7__acc__w424__s1.png,preço,preco,preco-f110c7,424,1,False,cedilha,abaixo,3,True,0,5,0.00661,0.00265,True,0.29814,,,0.29814,,
espacos-a321bd__acc__w424__s1.png,espaços,espacos,espacos-a321bd,424,1,False,cedilha,abaixo,4,True,0,17,0.04497,0.00891,True,-0.09069,,,-0.09069,,
presenca-d6581f__acc__w424__s1.png,presença,presenca,presenca-d6581f,424,1,False,cedilha,abaixo,6,True,0,67,0.23024,0.0361,True,0.00978,,,0.00978,,
pais-8b83c1__acc__w375__s1.png,país,pais,pais-8b83c1,375,1,False,agudo,acima,2,True,0,56,0.13861,0.07977,True,0.12273,,,0.12273,,
individuos-2e50a2__acc__w375__s1.png,indivíduos,individuos,individuos-2e50a2,375,1,False,agudo,acima,5,True,0,19,0.08597,0.01199,True,0.01261,,,0.01261,,
esta-2d1080__acc__w375__s1.png,está,esta,esta-2d1080,375,1,False,agudo,acima,3,True,0,254,0.53474,0.11525,True,0.0181,,,0.0181,,
filosofo-6185fc__acc__w375__s1.png,filósofo,filosofo,filosofo-6185fc,375,1,False,agudo,acima,3,True,0,27,0.07438,0.02143,True,0.01695,,,0.01695,,
vies-abb582__acc__w375__s1.png,viés,vies,vies-abb582,375,1,False,agudo,acima,2,True,0,54,0.06758,0.04655,True,-0.02088,,,-0.02088,,
sera-615740__acc__w375__s1.png,será,sera,sera-615740,375,1,False,agudo,acima,3,True,0,9,0.00694,0.01148,True,-0.00371,,,-0.00371,,
aqueles-f3aa73__acc__w375__s1.png,àqueles,aqueles,aqueles-f3aa73,375,1,False,grave,acima,0,True,0,70,0.33019,0.11364,True,0.01186,,,0.01186,,
aquele-305a09__acc__w375__s1.png,àquele,aquele,aquele-305a09,375,1,False,grave,acima,0,True,0,15,0.05703,0.02521,True,-0.11064,,,-0.11064,,
aquela-5f0a77__acc__w375__s1.png,àquela,aquela,aquela-5f0a77,375,1,False,grave,acima,0,True,0,17,0.07692,0.02556,True,-0.00483,,,-0.00483,,
aquelas-cda0ac__acc__w375__s1.png,àquelas,aquelas,aquelas-cda0ac,375,1,False,grave,acima,0,True,0,58,0.20789,0.1014,True,0.00738,,,0.00738,,
epoque-f59620__acc__w375__s1.png,èpoque,epoque,epoque-f59620,375,1,False,grave,acima,0,True,0,78,0.26351,0.1875,True,0.01103,,,0.01103,,
importancia-39f2c4__acc__w375__s1.png,importância,importancia,importancia-39f2c4,375,1,False,circunflexo,acima,6,True,0,105,0.42339,0.08974,True,0.21377,,,0.21377,,
negligencia-07e163__acc__w375__s1.png,negligência,negligencia,negligencia-07e163,375,1,False,circunflexo,acima,6,True,0,17,0.07981,0.0184,True,0.0,,,0.0,,
influencia-754992__acc__w375__s1.png,influência,influencia,influencia-754992,375,1,False,circunflexo,acima,5,True,0,11,0.0449,0.01007,True,-0.03846,,,-0.03846,,
ineficiencia-65d1bb__acc__w375__s1.png,ineficiência,ineficiencia,ineficiencia-65d1bb,375,1,False,circunflexo,acima,7,True,0,47,0.20614,0.04246,True,0.08602,,,0.08602,,
porque-90c5f0__acc__w375__s1.png,porquê,porque,porque-90c5f0,375,1,False,circunflexo,acima,5,True,0,6,0.02113,0.01875,True,0.0,,,0.0,,
pode-9faff7__acc__w375__s1.png,pôde,pode,pode-9faff7,375,1,False,circunflexo,acima,1,True,0,21,0.06158,0.02019,True,-0.04987,,,-0.04987,,
depressao-2d26ca__acc__w375__s1.png,depressão,depressao,depressao-2d26ca,375,1,False,til,acima,7,True,0,26,0.08935,0.02793,True,0.00355,,,0.00355,,
cidadaos-88079d__acc__w375__s1.png,cidadãos,cidadaos,cidadaos-88079d,375,1,False,til,acima,5,True,0,94,0.21029,0.04971,True,-0.098,,,-0.098,,
questao-72d350__acc__w375__s1.png,questão,questao,questao-72d350,375,1,False,til,acima,5,True,0,70,0.24138,0.07,True,-0.0099,,,-0.0099,,
exclusao-7a9dad__acc__w375__s1.png,exclusão,exclusao,exclusao-7a9dad,375,1,False,til,acima,6,True,0,18,0.03309,0.01125,True,0.00163,,,0.00163,,
regioes-ba061c__acc__w375__s1.png,regiões,regioes,regioes-ba061c,375,1,False,til,acima,4,True,0,3,0.01124,0.0062,True,-0.00862,,,-0.00862,,
visao-ee76db__acc__w375__s1.png,visão,visao,visao-ee76db,375,1,False,til,acima,3,True,0,118,0.17101,0.0629,True,0.06544,,,0.06544,,
doencas-7ee44f__acc__w375__s1.png,doenças,doencas,doencas-7ee44f,375,1,False,cedilha,abaixo,4,True,0,4,0.01156,0.01724,True,0.0,,,0.0,,
doenca-0cc034__acc__w375__s1.png,doença,doenca,doenca-0cc034,375,1,False,cedilha,abaixo,4,True,0,18,0.03327,0.13433,True,0.16274,,,0.16274,,
espaco-222fe5__acc__w375__s1.png,espaço,espaco,espaco-222fe5,375,1,False,cedilha,abaixo,4,True,0,35,0.05922,0.01536,True,0.0,,,0.0,,
preco-f110c7__acc__w375__s1.png,preço,preco,preco-f110c7,375,1,False,cedilha,abaixo,3,True,0,22,0.03161,0.01109,True,0.09287,,,0.09287,,
espacos-a321bd__acc__w375__s1.png,espaços,espacos,espacos-a321bd,375,1,False,cedilha,abaixo,4,True,0,13,0.03291,0.00652,True,0.0,,,0.0,,
presenca-d6581f__acc__w375__s1.png,presença,presenca,presenca-d6581f,375,1,False,cedilha,abaixo,6,True,0,50,0.11261,0.02441,True,0.05455,,,0.05455,,
pais-8b83c1__acc__w174__s2.png,país,pais,pais-8b83c1,174,2,False,agudo,acima,2,True,0,33,0.06947,0.05323,True,0.08128,,,0.08128,,
individuos-2e50a2__acc__w174__s2.png,indivíduos,individuos,individuos-2e50a2,174,2,False,agudo,acima,5,True,0,22,0.08365,0.01321,True,-0.0101,,,-0.0101,,
esta-2d1080__acc__w174__s2.png,está,esta,esta-2d1080,174,2,False,agudo,acima,3,True,0,201,0.35893,0.10255,True,0.00509,,,0.00509,,
filosofo-6185fc__acc__w174__s2.png,filósofo,filosofo,filosofo-6185fc,174,2,False,agudo,acima,3,True,0,86,0.48588,0.06061,True,0.0,,,0.0,,
vies-abb582__acc__w174__s2.png,viés,vies,vies-abb582,174,2,False,agudo,acima,2,True,0,25,0.03541,0.0223,True,0.0125,,,0.0125,,
sera-615740__acc__w174__s2.png,será,sera,sera-615740,174,2,False,agudo,acima,3,True,0,4,0.00378,0.00353,True,-0.01167,,,-0.01167,,
aqueles-f3aa73__acc__w174__s2.png,àqueles,aqueles,aqueles-f3aa73,174,2,False,grave,acima,0,True,0,33,0.125,0.04688,True,0.0,,,0.0,,
aquele-305a09__acc__w174__s2.png,àquele,aquele,aquele-305a09,174,2,False,grave,acima,0,True,0,15,0.06383,0.02679,True,0.0,,,0.0,,
aquela-5f0a77__acc__w174__s2.png,àquela,aquela,aquela-5f0a77,174,2,False,grave,acima,0,True,0,7,0.035,0.0098,True,-0.00529,,,-0.00529,,
aquelas-cda0ac__acc__w174__s2.png,àquelas,aquelas,aquelas-cda0ac,174,2,False,grave,acima,0,True,0,25,0.11013,0.03788,True,0.0,,,0.0,,
epoque-f59620__acc__w174__s2.png,èpoque,epoque,epoque-f59620,174,2,False,grave,acima,0,True,0,69,0.2233,0.15972,True,0.01316,,,0.01316,,
importancia-39f2c4__acc__w174__s2.png,importância,importancia,importancia-39f2c4,174,2,False,circunflexo,acima,6,True,0,70,0.30435,0.06261,True,-0.03346,,,-0.03346,,
negligencia-07e163__acc__w174__s2.png,negligência,negligencia,negligencia-07e163,174,2,False,circunflexo,acima,6,True,0,1,0.00469,0.00111,True,0.0,,,0.0,,
influencia-754992__acc__w174__s2.png,influência,influencia,influencia-754992,174,2,False,circunflexo,acima,5,True,0,12,0.04225,0.00912,True,-0.11327,,,-0.11327,,
ineficiencia-65d1bb__acc__w174__s2.png,ineficiência,ineficiencia,ineficiencia-65d1bb,174,2,False,circunflexo,acima,7,True,0,45,0.18145,0.03785,True,-0.06552,,,-0.06552,,
porque-90c5f0__acc__w174__s2.png,porquê,porque,porque-90c5f0,174,2,False,circunflexo,acima,5,True,0,0,0.0,0.0,True,0.0,,,0.0,,
pode-9faff7__acc__w174__s2.png,pôde,pode,pode-9faff7,174,2,False,circunflexo,acima,1,True,0,32,0.0884,0.03119,True,0.02671,,,0.02671,,
depressao-2d26ca__acc__w174__s2.png,depressão,depressao,depressao-2d26ca,174,2,False,til,acima,7,True,0,41,0.21925,0.04184,True,-0.06397,,,-0.06397,,
cidadaos-88079d__acc__w174__s2.png,cidadãos,cidadaos,cidadaos-88079d,174,2,False,til,acima,5,True,0,110,0.19366,0.05817,True,-0.08299,,,-0.08299,,
questao-72d350__acc__w174__s2.png,questão,questao,questao-72d350,174,2,False,til,acima,5,True,0,60,0.2439,0.07353,True,-0.03293,,,-0.03293,,
exclusao-7a9dad__acc__w174__s2.png,exclusão,exclusao,exclusao-7a9dad,174,2,False,til,acima,6,True,0,50,0.08696,0.02688,True,-0.16302,,,-0.16302,,
regioes-ba061c__acc__w174__s2.png,regiões,regioes,regioes-ba061c,174,2,False,til,acima,4,True,0,10,0.03817,0.01709,True,-0.00541,,,-0.00541,,
visao-ee76db__acc__w174__s2.png,visão,visao,visao-ee76db,174,2,False,til,acima,3,True,0,183,0.29233,0.0688,True,0.04595,,,0.04595,,
doencas-7ee44f__acc__w174__s2.png,doenças,doencas,doencas-7ee44f,174,2,False,cedilha,abaixo,4,True,0,1,0.00231,0.00424,True,-0.00605,,,-0.00605,,
doenca-0cc034__acc__w174__s2.png,doença,doenca,doenca-0cc034,174,2,False,cedilha,abaixo,4,True,0,12,0.02218,0.03478,True,-0.0474,,,-0.0474,,
espaco-222fe5__acc__w174__s2.png,espaço,espaco,espaco-222fe5,174,2,False,cedilha,abaixo,4,True,0,0,0.0,0.0,True,-0.06953,,,-0.06953,,
preco-f110c7__acc__w174__s2.png,preço,preco,preco-f110c7,174,2,False,cedilha,abaixo,3,True,0,25,0.03521,0.01222,True,0.00903,,,0.00903,,
espacos-a321bd__acc__w174__s2.png,espaços,espacos,espacos-a321bd,174,2,False,cedilha,abaixo,4,True,0,7,0.02053,0.00381,True,-0.0054,,,-0.0054,,
presenca-d6581f__acc__w174__s2.png,presença,presenca,presenca-d6581f,174,2,False,cedilha,abaixo,6,True,0,78,0.17489,0.03641,True,0.10684,,,0.10684,,
pais-8b83c1__acc__w32__s2.png,país,pais,pais-8b83c1,32,2,False,agudo,acima,2,True,0,83,0.21392,0.1044,True,0.08242,,,0.08242,,
individuos-2e50a2__acc__w32__s2.png,indivíduos,individuos,individuos-2e50a2,32,2,False,agudo,acima,5,True,0,6,0.02765,0.00371,True,-0.01288,,,-0.01288,,
esta-2d1080__acc__w32__s2.png,está,esta,esta-2d1080,32,2,False,agudo,acima,3,True,0,222,0.35294,0.1166,True,0.04384,,,0.04384,,
filosofo-6185fc__acc__w32__s2.png,filósofo,filosofo,filosofo-6185fc,32,2,False,agudo,acima,3,True,0,75,0.25168,0.0641,True,0.01887,,,0.01887,,
vies-abb582__acc__w32__s2.png,viés,vies,vies-abb582,32,2,False,agudo,acima,2,True,0,72,0.07539,0.06557,True,-0.04615,,,-0.04615,,
sera-615740__acc__w32__s2.png,será,sera,sera-615740,32,2,False,agudo,acima,3,True,0,0,0.0,0.0,True,0.0,,,0.0,,
aqueles-f3aa73__acc__w32__s2.png,àqueles,aqueles,aqueles-f3aa73,32,2,False,grave,acima,0,True,0,32,0.12167,0.04969,True,-0.05263,,,-0.05263,,
aquele-305a09__acc__w32__s2.png,àquele,aquele,aquele-305a09,32,2,False,grave,acima,0,True,0,47,0.21364,0.0601,True,-0.00847,,,-0.00847,,
aquela-5f0a77__acc__w32__s2.png,àquela,aquela,aquela-5f0a77,32,2,False,grave,acima,0,True,0,49,0.2,0.06266,True,-0.02991,,,-0.02991,,
aquelas-cda0ac__acc__w32__s2.png,àquelas,aquelas,aquelas-cda0ac,32,2,False,grave,acima,0,True,0,60,0.15544,0.09917,True,-0.07438,,,-0.07438,,
epoque-f59620__acc__w32__s2.png,èpoque,epoque,epoque-f59620,32,2,False,grave,acima,0,True,0,64,0.13361,0.15496,True,-0.01613,,,-0.01613,,
importancia-39f2c4__acc__w32__s2.png,importância,importancia,importancia-39f2c4,32,2,False,circunflexo,acima,6,True,0,76,0.30769,0.06756,True,0.02198,,,0.02198,,
negligencia-07e163__acc__w32__s2.png,negligência,negligencia,negligencia-07e163,32,2,False,circunflexo,acima,6,True,0,1,0.00498,0.00114,True,-0.04082,,,-0.04082,,
influencia-754992__acc__w32__s2.png,influência,influencia,influencia-754992,32,2,False,circunflexo,acima,5,True,0,9,0.02752,0.00725,True,-0.03607,,,-0.03607,,
ineficiencia-65d1bb__acc__w32__s2.png,ineficiência,ineficiencia,ineficiencia-65d1bb,32,2,False,circunflexo,acima,7,True,0,36,0.13091,0.03377,True,0.08163,,,0.08163,,
porque-90c5f0__acc__w32__s2.png,porquê,porque,porque-90c5f0,32,2,False,circunflexo,acima,5,True,0,71,0.22468,0.15139,True,0.03636,,,0.03636,,
pode-9faff7__acc__w32__s2.png,pôde,pode,pode-9faff7,32,2,False,circunflexo,acima,1,True,0,51,0.16832,0.04293,True,-0.04743,,,-0.04743,,
depressao-2d26ca__acc__w32__s2.png,depressão,depressao,depressao-2d26ca,32,2,False,til,acima,7,True,0,3,0.00915,0.00339,True,0.0,,,0.0,,
cidadaos-88079d__acc__w32__s2.png,cidadãos,cidadaos,cidadaos-88079d,32,2,False,til,acima,5,True,0,81,0.10672,0.04579,True,-0.11681,,,-0.11681,,
questao-72d350__acc__w32__s2.png,questão,questao,questao-72d350,32,2,False,til,acima,5,True,0,80,0.32,0.08163,True,-0.02111,,,-0.02111,,
exclusao-7a9dad__acc__w32__s2.png,exclusão,exclusao,exclusao-7a9dad,32,2,False,til,acima,6,True,0,17,0.03307,0.01032,True,-0.01832,,,-0.01832,,
regioes-ba061c__acc__w32__s2.png,regiões,regioes,regioes-ba061c,32,2,False,til,acima,4,True,0,12,0.04858,0.02273,True,0.00712,,,0.00712,,
visao-ee76db__acc__w32__s2.png,visão,visao,visao-ee76db,32,2,False,til,acima,3,True,0,3,0.00563,0.00151,True,-0.01182,,,-0.01182,,
doencas-7ee44f__acc__w32__s2.png,doenças,doencas,doencas-7ee44f,32,2,False,cedilha,abaixo,4,True,0,1,0.0019,0.00278,True,-0.00778,,,-0.00778,,
doenca-0cc034__acc__w32__s2.png,doença,doenca,doenca-0cc034,32,2,False,cedilha,abaixo,4,True,0,0,0.0,0.0,True,-0.00426,,,-0.00426,,
espaco-222fe5__acc__w32__s2.png,espaço,espaco,espaco-222fe5,32,2,False,cedilha,abaixo,4,True,0,9,0.01679,0.00476,True,0.0,,,0.0,,
preco-f110c7__acc__w32__s2.png,preço,preco,preco-f110c7,32,2,False,cedilha,abaixo,3,True,0,8,0.01024,0.00431,True,0.21627,,,0.21627,,
espacos-a321bd__acc__w32__s2.png,espaços,espacos,espacos-a321bd,32,2,False,cedilha,abaixo,4,True,0,11,0.0288,0.00593,True,-0.05044,,,-0.05044,,
presenca-d6581f__acc__w32__s2.png,presença,presenca,presenca-d6581f,32,2,False,cedilha,abaixo,6,True,0,19,0.05491,0.0099,True,-0.03,,,-0.03,,
pais-8b83c1__acc__w424__s2.png,país,pais,pais-8b83c1,424,2,False,agudo,acima,2,True,0,83,0.22432,0.09881,True,-0.04202,,,-0.04202,,
individuos-2e50a2__acc__w424__s2.png,indivíduos,individuos,individuos-2e50a2,424,2,False,agudo,acima,5,True,0,0,0.0,0.0,True,-0.01389,,,-0.01389,,
esta-2d1080__acc__w424__s2.png,está,esta,esta-2d1080,424,2,False,agudo,acima,3,True,0,216,0.4586,0.10425,True,0.02685,,,0.02685,,
filosofo-6185fc__acc__w424__s2.png,filósofo,filosofo,filosofo-6185fc,424,2,False,agudo,acima,3,True,0,84,0.43979,0.06563,True,0.07692,,,0.07692,,
vies-abb582__acc__w424__s2.png,viés,vies,vies-abb582,424,2,False,agudo,acima,2,True,0,35,0.0365,0.02732,True,0.03439,,,0.03439,,
sera-615740__acc__w424__s2.png,será,sera,sera-615740,424,2,False,agudo,acima,3,True,0,32,0.026,0.01814,True,0.02871,,,0.02871,,
aqueles-f3aa73__acc__w424__s2.png,àqueles,aqueles,aqueles-f3aa73,424,2,False,grave,acima,0,True,0,11,0.03526,0.01471,True,0.00717,,,0.00717,,
aquele-305a09__acc__w424__s2.png,àquele,aquele,aquele-305a09,424,2,False,grave,acima,0,True,0,41,0.21466,0.05609,True,-0.03226,,,-0.03226,,
aquela-5f0a77__acc__w424__s2.png,àquela,aquela,aquela-5f0a77,424,2,False,grave,acima,0,True,0,7,0.03743,0.01144,True,-0.23596,,,-0.23596,,
aquelas-cda0ac__acc__w424__s2.png,àquelas,aquelas,aquelas-cda0ac,424,2,False,grave,acima,0,True,0,0,0.0,0.0,True,0.0,,,0.0,,
epoque-f59620__acc__w424__s2.png,èpoque,epoque,epoque-f59620,424,2,False,grave,acima,0,True,0,103,0.34333,0.19808,True,0.00935,,,0.00935,,
importancia-39f2c4__acc__w424__s2.png,importância,importancia,importancia-39f2c4,424,2,False,circunflexo,acima,6,True,0,67,0.28511,0.05726,True,0.01255,,,0.01255,,
negligencia-07e163__acc__w424__s2.png,negligência,negligencia,negligencia-07e163,424,2,False,circunflexo,acima,6,True,0,3,0.01402,0.00325,True,0.0,,,0.0,,
influencia-754992__acc__w424__s2.png,influência,influencia,influencia-754992,424,2,False,circunflexo,acima,5,True,0,15,0.06912,0.01101,True,-0.06273,,,-0.06273,,
ineficiencia-65d1bb__acc__w424__s2.png,ineficiência,ineficiencia,ineficiencia-65d1bb,424,2,False,circunflexo,acima,7,True,0,20,0.08264,0.01764,True,0.01829,,,0.01829,,
porque-90c5f0__acc__w424__s2.png,porquê,porque,porque-90c5f0,424,2,False,circunflexo,acima,5,True,0,30,0.12048,0.09091,True,-0.00327,,,-0.00327,,
pode-9faff7__acc__w424__s2.png,pôde,pode,pode-9faff7,424,2,False,circunflexo,acima,1,True,0,32,0.09816,0.03077,True,-0.00358,,,-0.00358,,
depressao-2d26ca__acc__w424__s2.png,depressão,depressao,depressao-2d26ca,424,2,False,til,acima,7,True,0,5,0.01931,0.007,True,-0.02745,,,-0.02745,,
cidadaos-88079d__acc__w424__s2.png,cidadãos,cidadaos,cidadaos-88079d,424,2,False,til,acima,5,True,0,111,0.17903,0.05968,True,-0.12264,,,-0.12264,,
questao-72d350__acc__w424__s2.png,questão,questao,questao-72d350,424,2,False,til,acima,5,True,0,84,0.30882,0.0875,True,0.0,,,0.0,,
exclusao-7a9dad__acc__w424__s2.png,exclusão,exclusao,exclusao-7a9dad,424,2,False,til,acima,6,True,0,33,0.05509,0.02063,True,0.02381,,,0.02381,,
regioes-ba061c__acc__w424__s2.png,regiões,regioes,regioes-ba061c,424,2,False,til,acima,4,True,0,10,0.05076,0.01623,True,-0.01604,,,-0.01604,,
visao-ee76db__acc__w424__s2.png,visão,visao,visao-ee76db,424,2,False,til,acima,3,True,0,65,0.07711,0.02811,True,-0.02573,,,-0.02573,,
doencas-7ee44f__acc__w424__s2.png,doenças,doencas,doencas-7ee44f,424,2,False,cedilha,abaixo,4,True,0,0,0.0,0.0,True,-0.00214,,,-0.00214,,
doenca-0cc034__acc__w424__s2.png,doença,doenca,doenca-0cc034,424,2,False,cedilha,abaixo,4,True,0,0,0.0,0.0,True,-0.00338,,,-0.00338,,
espaco-222fe5__acc__w424__s2.png,espaço,espaco,espaco-222fe5,424,2,False,cedilha,abaixo,4,True,0,0,0.0,0.0,True,0.11111,,,0.11111,,
preco-f110c7__acc__w424__s2.png,preço,preco,preco-f110c7,424,2,False,cedilha,abaixo,3,True,0,9,0.01503,0.00426,True,0.10687,,,0.10687,,
espacos-a321bd__acc__w424__s2.png,espaços,espacos,espacos-a321bd,424,2,False,cedilha,abaixo,4,True,0,6,0.02222,0.00306,True,0.0,,,0.0,,
presenca-d6581f__acc__w424__s2.png,presença,presenca,presenca-d6581f,424,2,False,cedilha,abaixo,6,True,0,19,0.0468,0.00887,True,0.08192,,,0.08192,,
pais-8b83c1__acc__w375__s2.png,país,pais,pais-8b83c1,375,2,False,agudo,acima,2,True,0,58,0.10642,0.09355,True,0.26829,,,0.26829,,
individuos-2e50a2__acc__w375__s2.png,indivíduos,individuos,individuos-2e50a2,375,2,False,agudo,acima,5,True,0,22,0.15603,0.01321,True,-0.01639,,,-0.01639,,
esta-2d1080__acc__w375__s2.png,está,esta,esta-2d1080,375,2,False,agudo,acima,3,True,0,232,0.57002,0.10526,True,0.05023,,,0.05023,,
filosofo-6185fc__acc__w375__s2.png,filósofo,filosofo,filosofo-6185fc,375,2,False,agudo,acima,3,True,0,27,0.14211,0.02143,True,0.01674,,,0.01674,,
vies-abb582__acc__w375__s2.png,viés,vies,vies-abb582,375,2,False,agudo,acima,2,True,0,24,0.03065,0.01905,True,0.00897,,,0.00897,,
sera-615740__acc__w375__s2.png,será,sera,sera-615740,375,2,False,agudo,acima,3,True,0,14,0.0158,0.00858,True,0.00333,,,0.00333,,
